id_cc,acceso_id,horas_presentes,horas_esperadas,faltantes
1,CC1_1,5199,8760,3561
1,CC1_10,5886,8760,2874
1,CC1_11,5618,8760,3142
1,CC1_12,6073,8760,2687
1,CC1_13,6065,8760,2695
1,CC1_14,6085,8760,2675
1,CC1_15,5666,8760,3094
1,CC1_16,97,8760,8663
1,CC1_2,5489,8760,3271
1,CC1_3,5819,8760,2941
1,CC1_4,6128,8760,2632
1,CC1_5,5908,8760,2852
1,CC1_6,5925,8760,2835
1,CC1_7,5863,8760,2897
1,CC1_8,5830,8760,2930
1,CC1_9,5981,8760,2779
2,CC2_1,5493,8760,3267
2,CC2_10,6028,8760,2732
2,CC2_2,5554,8760,3206
2,CC2_3,5493,8760,3267
2,CC2_4,5414,8760,3346
2,CC2_5,5894,8760,2866
2,CC2_6,5585,8760,3175
2,CC2_7,5644,8760,3116
2,CC2_8,5416,8760,3344
2,CC2_9,5643,8760,3117
3,CC3_1,5786,8760,2974
3,CC3_2,5547,8760,3213
3,CC3_3,5718,8760,3042
3,CC3_4,5904,8760,2856
3,CC3_5,5179,8760,3581
3,CC3_6,5737,8760,3023
3,CC3_7,5475,8760,3285
3,CC3_8,5719,8760,3041
4,CC4_1,5711,8760,3049
4,CC4_2,5923,8760,2837
4,CC4_3,5920,8760,2840
4,CC4_4,5879,8760,2881
4,CC4_5,5940,8760,2820
4,CC4_6,4118,8760,4642
4,CC4_7,5803,8760,2957
5,CC5_1,5338,8760,3422
5,CC5_10,3942,8760,4818
5,CC5_11,3687,8760,5073
5,CC5_2,5915,8760,2845
5,CC5_3,6035,8760,2725
5,CC5_4,5506,8760,3254
5,CC5_5,4495,8760,4265
5,CC5_6,4265,8760,4495
5,CC5_7,4000,8760,4760
5,CC5_8,4223,8760,4537
5,CC5_9,4293,8760,4467
6,CC6_1,5679,8760,3081
6,CC6_2,5595,8760,3165
6,CC6_3,3957,8760,4803
6,CC6_4,5642,8760,3118
6,CC6_5,5788,8760,2972
7,CC7_1,5758,8760,3002
7,CC7_10,5869,8760,2891
7,CC7_2,5766,8760,2994
7,CC7_3,5842,8760,2918
7,CC7_4,5808,8760,2952
7,CC7_5,5827,8760,2933
7,CC7_6,5690,8760,3070
7,CC7_7,5728,8760,3032
7,CC7_8,5679,8760,3081
7,CC7_9,5647,8760,3113
8,CC8_1,5626,8760,3134
8,CC8_10,5258,8760,3502
8,CC8_2,5777,8760,2983
8,CC8_3,2756,8760,6004
8,CC8_4,5272,8760,3488
8,CC8_5,5490,8760,3270
8,CC8_6,5823,8760,2937
8,CC8_7,5903,8760,2857
8,CC8_8,5766,8760,2994
8,CC8_9,5521,8760,3239
