id_cc,dow,dow_label,ins_promedio
1,0,Lunes,21.29731891891892
1,1,Martes,22.039364964436306
1,2,Miércoles,23.89263528397105
1,3,Jueves,23.099845910378143
1,4,Viernes,26.52123973906801
1,5,Sábado,30.84046922056315
1,6,Domingo,25.91603787542536
2,0,Lunes,41.233759275630206
2,1,Martes,47.31944489269001
2,2,Miércoles,53.56468141987227
2,3,Jueves,59.19284286592866
2,4,Viernes,38.78214979312674
2,5,Sábado,54.87160436498723
2,6,Domingo,64.19901864573112
3,0,Lunes,33.21763133426313
3,1,Martes,26.15815126768994
3,2,Miércoles,32.749492253235076
3,3,Jueves,35.23359564164649
3,4,Viernes,29.275880139107237
3,5,Sábado,31.77404397705545
3,6,Domingo,22.55060865644725
4,0,Lunes,41.9435789647214
4,1,Martes,44.02749600725169
4,2,Miércoles,43.17973688706646
4,3,Jueves,30.029696805630753
4,4,Viernes,32.35571281523417
4,5,Sábado,52.76576196008026
4,6,Domingo,50.2954554586732
5,0,Lunes,70.48461002785515
5,1,Martes,52.59675447371346
5,2,Miércoles,80.97982593171167
5,3,Jueves,71.46515706007929
5,4,Viernes,47.04420053396618
5,5,Sábado,78.37990906694782
5,6,Domingo,67.58669396718004
6,0,Lunes,46.998071271124175
6,1,Martes,49.741911491260694
6,2,Miércoles,58.025647200481636
6,3,Jueves,38.668466686948584
6,4,Viernes,52.777016612433634
6,5,Sábado,67.66715758468335
6,6,Domingo,52.698322325969784
7,0,Lunes,39.57746382746383
7,1,Martes,49.31267223656008
7,2,Miércoles,39.2575647630796
7,3,Jueves,34.91580819229826
7,4,Viernes,27.585738045738047
7,5,Sábado,28.85329888345483
7,6,Domingo,26.22932437212593
8,0,Lunes,53.410903827597295
8,1,Martes,41.969531543211986
8,2,Miércoles,58.19260166585007
8,3,Jueves,59.7269522383735
8,4,Viernes,52.86063254414557
8,5,Sábado,54.0223243995402
8,6,Domingo,57.16352327447833
