id_cc,anio_mes,ins_total_mes
1,2024-10-01,1410833
1,2024-11-01,1360291
1,2024-12-01,1731277
1,2025-01-01,1277026
1,2025-02-01,1150465
1,2025-03-01,1315842
1,2025-04-01,1279400
1,2025-05-01,1403462
1,2025-06-01,1285339
1,2025-07-01,1385317
1,2025-08-01,1413708
1,2025-09-01,1225866
2,2024-10-01,843109
2,2024-11-01,917237
2,2024-12-01,1186930
2,2025-01-01,991207
2,2025-02-01,879958
2,2025-03-01,1039812
2,2025-04-01,954848
2,2025-05-01,1037368
2,2025-06-01,967368
2,2025-07-01,1024035
2,2025-08-01,1128948
2,2025-09-01,943893
3,2024-10-01,376919
3,2024-11-01,394967
3,2024-12-01,403058
3,2025-01-01,322543
3,2025-02-01,293403
3,2025-03-01,336752
3,2025-04-01,343769
3,2025-05-01,371312
3,2025-06-01,349363
3,2025-07-01,340992
3,2025-08-01,345496
3,2025-09-01,330729
4,2024-10-01,604899
4,2024-11-01,885456
4,2024-12-01,1206257
4,2025-01-01,598019
4,2025-02-01,589383
4,2025-03-01,651784
4,2025-04-01,629271
4,2025-05-01,633191
4,2025-06-01,594272
4,2025-07-01,605570
4,2025-08-01,614760
4,2025-09-01,553026
5,2024-10-01,998913
5,2024-11-01,1063705
5,2024-12-01,1289327
5,2025-01-01,1122563
5,2025-02-01,1135464
5,2025-03-01,1254090
5,2025-04-01,1245224
5,2025-05-01,1322358
5,2025-06-01,1188292
5,2025-07-01,1199172
5,2025-08-01,1315276
5,2025-09-01,1190022
6,2024-10-01,355939
6,2024-11-01,365338
6,2024-12-01,454581
6,2025-01-01,326413
6,2025-02-01,293933
6,2025-03-01,341577
6,2025-04-01,326401
6,2025-05-01,357924
6,2025-06-01,324411
6,2025-07-01,328144
6,2025-08-01,352035
6,2025-09-01,301966
7,2024-10-01,709278
7,2024-11-01,725368
7,2024-12-01,1026969
7,2025-01-01,725298
7,2025-02-01,670170
7,2025-03-01,758896
7,2025-04-01,748052
7,2025-05-01,754945
7,2025-06-01,697058
7,2025-07-01,694866
7,2025-08-01,725106
7,2025-09-01,645236
8,2024-10-01,839995
8,2024-11-01,887985
8,2024-12-01,1083319
8,2025-01-01,735690
8,2025-02-01,656875
8,2025-03-01,771337
8,2025-04-01,805975
8,2025-05-01,844031
8,2025-06-01,784476
8,2025-07-01,815271
8,2025-08-01,935296
8,2025-09-01,793852
